season,team,conf
2022,UT Arlington,SB
2022,Southern,SWAC
2022,Marshall,CUSA
2022,Stony Brook,AE
2022,South Florida,Amer
2022,Quinnipiac,MAAC
2022,UMBC,AE
2022,Siena,MAAC
2022,New Hampshire,AE
2022,Rice,CUSA
2022,LIU Brooklyn,NEC
2022,Youngstown St.,Horz
2022,The Citadel,SC
2022,Montana,BSky
2022,Howard,MEAC
2022,Ball St.,MAC
2022,Georgia Southern,SB
2022,Tennessee Tech,OVC
2022,Elon,CAA
2022,Lipscomb,ASun
2022,Mount St. Mary's,NEC
2022,Miami OH,MAC
2022,Western Illinois,Sum
2022,Portland St.,BSky
2022,Eastern Kentucky,ASun
2022,Tennessee St.,OVC
2022,Pepperdine,WCC
2022,Air Force,MWC
2022,Louisiana Monroe,SB
2022,USC Upstate,BSth
2022,North Florida,ASun
2022,UC San Diego,BW
2022,Manhattan,MAAC
2022,Presbyterian,BSth
2022,Southeastern Louisiana,Slnd
2022,Bowling Green,MAC
2022,UMass Lowell,AE
2022,Radford,BSth
2022,San Jose St.,MWC
2022,Utah Tech,WAC
2022,Illinois Chicago,Horz
2022,FIU,CUSA
2022,Pacific,WCC
2022,Prairie View A&M,SWAC
2022,Canisius,MAAC
2022,Hartford,AE
2022,North Carolina A&T,BSth
2022,Austin Peay,OVC
2022,St. Thomas,Sum
2022,Jackson St.,SWAC
2022,Duquesne,A10
2022,New Orleans,Slnd
2022,SIU Edwardsville,OVC
2022,Loyola MD,Pat
2022,Army,Pat
2022,Central Arkansas,ASun
2022,Cal St. Bakersfield,BW
2022,Tennessee Martin,OVC
2022,Merrimack,NEC
2022,Albany,AE
2022,Western Carolina,SC
2022,Denver,Sum
2022,Cal Poly,BW
2022,Northern Illinois,MAC
2022,Morgan St.,MEAC
2022,Lehigh,Pat
2022,Binghamton,AE
2022,North Alabama,ASun
2022,Eastern Michigan,MAC
2022,Stetson,ASun
2022,McNeese St.,Slnd
2022,Western Michigan,MAC
2022,Florida A&M,SWAC
2022,Robert Morris,Horz
2022,UTSA,CUSA
2022,Sacramento St.,BSky
2022,Lafayette,Pat
2022,UT Rio Grande Valley,WAC
2022,North Carolina Central,MEAC
2022,South Carolina St.,MEAC
2022,Little Rock,SB
2022,St. Francis NY,NEC
2022,Central Michigan,MAC
2022,Coppin St.,MEAC
2022,Hampton,BSth
2022,Maryland Eastern Shore,MEAC
2022,Bucknell,Pat
2022,Evansville,MVC
2022,Grambling St.,SWAC
2022,Sacred Heart,NEC
2022,St. Francis PA,NEC
2022,Alabama St.,SWAC
2022,Southern Miss,CUSA
2022,Alabama A&M,SWAC
2022,Idaho,BSky
2022,Idaho St.,BSky
2022,Green Bay,Horz
2022,Northern Arizona,BSky
2022,Milwaukee,Horz
2022,Cal St. Northridge,BW
2022,Northwestern St.,Slnd
2022,Bethune Cookman,SWAC
2022,William & Mary,CAA
2022,American,Pat
2022,Chicago St.,WAC
2022,Houston Christian,Slnd
2022,Charleston Southern,BSth
2022,NJIT,AE
2022,North Dakota,Sum
2022,Fairleigh Dickinson,NEC
2022,Nebraska Omaha,Sum
2022,Lamar,WAC
2022,Holy Cross,Pat
2022,Arkansas Pine Bluff,SWAC
2022,Mississippi Valley St.,SWAC
2022,Incarnate Word,Slnd
2022,Maine,AE
2022,Columbia,Ivy
2022,Central Connecticut,NEC
2022,Delaware St.,MEAC
2022,Eastern Illinois,OVC
2022,IUPUI,Horz
2023,Kansas,B12
2023,Purdue,B10
2023,Alabama,SEC
2023,Houston,Amer
2023,Texas,B12
2023,Marquette,BE
2023,Arizona,P12
2023,UCLA,P12
2023,Kansas St.,B12
2023,Gonzaga,WCC
2023,Baylor,B12
2023,Xavier,BE
2023,Connecticut,BE
2023,Indiana,B10
2023,Virginia,ACC
2023,Tennessee,SEC
2023,San Diego St.,MWC
2023,Miami FL,ACC
2023,Saint Mary's,WCC
2023,Duke,ACC
2023,Creighton,BE
2023,Kentucky,SEC
2023,TCU,B12
2023,Iowa St.,B12
2023,Northwestern,B10
2023,Missouri,SEC
2023,Texas A&M,SEC
2023,Michigan St.,B10
2023,Maryland,B10
2023,Iowa,B10
2023,Memphis,Amer
2023,Arkansas,SEC
2023,Florida Atlantic,CUSA
2023,Auburn,SEC
2023,West Virginia,B12
2023,Illinois,B10
2023,Penn St.,B10
2023,USC,P12
2023,Boise St.,MWC
2023,Utah St.,MWC
2023,Pittsburgh,ACC
2023,Providence,BE
2023,North Carolina St.,ACC
2023,Arizona St.,P12
2023,Mississippi St.,SEC
2023,Nevada,MWC
2023,Drake,MVC
2023,VCU,A10
2023,Oral Roberts,Sum
2023,College of Charleston,CAA
2023,Furman,SC
2023,Louisiana Lafayette,SB
2023,Iona,MAAC
2023,Kent St.,MAC
2023,Grand Canyon,WAC
2023,Montana St.,BSky
2023,Kennesaw St.,ASun
2023,UC Santa Barbara,BW
2023,Vermont,AE
2023,Colgate,Pat
2023,UNC Asheville,BSth
2023,Princeton,Ivy
2023,Fairleigh Dickinson,NEC
2023,Northern Kentucky,Horz
2023,Howard,MEAC
2023,Texas A&M Corpus Chris,Slnd
2023,Texas Southern,SWAC
2023,Southeast Missouri St.,OVC
2023,LIU Brooklyn,NEC
2023,California,P12
2023,Green Bay,Horz
2023,Louisville,ACC
2023,Hartford,ind
2023,Tulsa,Amer
2023,South Carolina St.,MEAC
2023,Presbyterian,BSth
2023,Evansville,MVC
2023,Mississippi Valley St.,SWAC
2023,IUPUI,Horz
2023,Delaware St.,MEAC
2023,Columbia,Ivy
2023,Florida A&M,SWAC
2023,NJIT,AE
2023,Georgetown,BE
2023,Cal St. Northridge,BW
2023,VMI,SC
2023,Monmouth,CAA
2023,Eastern Michigan,MAC
2023,Western Michigan,MAC
2023,Albany,AE
2023,Alabama St.,SWAC
2023,Elon,CAA
2023,Hampton,CAA
2023,Cal Poly,BW
2023,New Mexico St.,WAC
2023,Wyoming,MWC
2023,Pepperdine,WCC
2023,Minnesota,B10
2023,Rhode Island,A10
2023,Central Arkansas,ASun
2023,Austin Peay,ASun
2023,Eastern Illinois,OVC
2023,Lamar,Slnd
2023,Florida St.,ACC
2023,Nebraska Omaha,Sum
2023,Coppin St.,MEAC
2023,Dartmouth,Ivy
2023,UC San Diego,BW
2023,Canisius,MAAC
2023,Northeastern,CAA
2023,Loyola Chicago,A10
2023,Georgia St.,SB
2023,Charleston Southern,BSth
2023,Arkansas Pine Bluff,SWAC
2023,Little Rock,OVC
2023,Central Michigan,MAC
2023,SMU,Amer
2023,UTSA,CUSA
2023,Idaho,BSky
2023,The Citadel,SC
2023,Holy Cross,Pat
2023,Central Connecticut,NEC
2023,Houston Christian,Slnd
2023,DePaul,BE
2023,Fresno St.,MWC
2023,San Diego,WCC
2023,Bowling Green,MAC
2023,Coastal Carolina,SB
2023,Chicago St.,ind
2023,Notre Dame,ACC
2023,South Carolina,SEC
2023,Oregon St.,P12
2023,UT Arlington,WAC
2023,Idaho St.,BSky
2023,Louisiana Monroe,SB
2023,Valparaiso,MVC
2023,Illinois St.,MVC
2023,UMKC,Sum
2023,Lindenwood,OVC
2023,Cal St. Bakersfield,BW
2023,Stony Brook,CAA
2023,Lafayette,Pat
2023,McNeese St.,Slnd
2023,Manhattan,MAAC
2023,Portland St.,BSky
2023,South Dakota,Sum
2023,Incarnate Word,Slnd
2023,Northern Colorado,BSky
2023,East Tennessee St.,SC
2023,Miami OH,MAC
2023,Illinois Chicago,MVC
2023,Bucknell,Pat
2023,New Orleans,Slnd
2023,Bethune Cookman,SWAC
2023,Mississippi,SEC
2023,Northern Arizona,BSky
2023,Jacksonville,ASun
2023,Abilene Christian,WAC
2023,Maine,AE
2023,Jacksonville St.,ASun
2023,Fairfield,MAAC
2023,Binghamton,AE
2023,St. Francis PA,NEC
2023,Northern Illinois,MAC
2023,Prairie View A&M,SWAC
2023,Oakland,Horz
2023,North Carolina A&T,CAA
2023,Mount St. Mary's,MAAC
2023,North Dakota,Sum
2023,Marist,MAAC
2023,Arkansas St.,SB
2023,William & Mary,CAA
2023,Texas A&M Commerce,Slnd
2023,Loyola MD,Pat
2023,Brown,Ivy
2023,Harvard,Ivy
2023,Morgan St.,MEAC
2023,St. Francis NY,NEC
2023,North Florida,ASun
2023,High Point,BSth
2023,Stonehill,NEC
2023,Butler,BE
2023,Air Force,MWC
2023,South Florida,Amer
2023,UTEP,CUSA
2023,St. Bonaventure,A10
2023,FIU,CUSA
2023,Northern Iowa,MVC
2023,Sacramento St.,BSky
2023,Saint Peter's,MAAC
2023,Mercer,SC
2023,Stanford,P12
2023,Utah Tech,WAC
2023,LSU,SEC
2023,Portland,WCC
2023,Detroit,Horz
2023,Jackson St.,SWAC
2023,Wagner,NEC
2023,New Hampshire,AE
2023,Gardner Webb,BSth
2023,Massachusetts,A10
2023,Oklahoma,B12
2023,Buffalo,MAC
2023,Winthrop,BSth
2023,UT Rio Grande Valley,WAC
2023,Denver,Sum
2023,Boston University,Pat
2023,Southern,SWAC
2023,Colorado St.,MWC
2023,Georgia Tech,ACC
2023,Richmond,A10
2023,Pacific,WCC
2023,Louisiana Tech,CUSA
2023,Bellarmine,ASun
2023,Alabama A&M,SWAC
2023,La Salle,A10
2023,Rider,MAAC
2023,Lehigh,Pat
2023,Western Illinois,Sum
2023,Niagara,MAAC
2023,Nicholls St.,Slnd
2023,Texas Tech,B12
2023,Nebraska,B10
2023,Temple,Amer
2023,Washington,P12
2023,Davidson,A10
2023,Appalachian St.,SB
2023,Georgia,SEC
2023,George Washington,A10
2023,USC Upstate,BSth
2023,Florida,SEC
2023,Boston College,ACC
2023,Saint Joseph's,A10
2023,East Carolina,Amer
2023,North Dakota St.,Sum
2023,Robert Morris,Horz
2023,Tennessee Tech,OVC
2023,Southern Indiana,OVC
2023,Sacred Heart,NEC
2023,Campbell,BSth
2023,Ohio St.,B10
2023,Texas St.,SB
2023,Cornell,Ivy
2023,Penn,Ivy
2023,Bryant,AE
2023,Montana,BSky
2023,Stetson,ASun
2023,Utah,P12
2023,Wichita St.,Amer
2023,Syracuse,ACC
2023,Missouri St.,MVC
2023,Drexel,CAA
2023,Florida Gulf Coast,ASun
2023,Siena,MAAC
2023,Murray St.,MVC
2023,Fort Wayne,Horz
2023,American,Pat
2023,Seton Hall,BE
2023,Long Beach St.,BW
2023,Cal Baptist,WAC
2023,Western Kentucky,CUSA
2023,Georgia Southern,SB
2023,Delaware,CAA
2023,Wofford,SC
2023,Army,Pat
2023,Washington St.,P12
2023,Villanova,BE
2023,Tarleton St.,WAC
2023,North Carolina Central,MEAC
2023,Navy,Pat
2023,Maryland Eastern Shore,MEAC
2023,UC Davis,BW
2023,UMBC,AE
2023,Alcorn St.,SWAC
2023,Southeastern Louisiana,Slnd
2023,Tennessee St.,OVC
2023,St. John's,BE
2023,Wright St.,Horz
2023,Weber St.,BSky
2023,Queens,ASun
2023,North Alabama,ASun
2023,Michigan,B10
2023,Western Carolina,SC
2023,Merrimack,NEC
2023,Colorado,P12
2023,Chattanooga,SC
2023,Loyola Marymount,WCC
2023,Old Dominion,SB
2023,UNLV,MWC
2023,Stephen F. Austin,WAC
2023,South Dakota St.,Sum
2023,Wake Forest,ACC
2023,Middle Tennessee,CUSA
2023,Ohio,MAC
2023,St. Thomas,Sum
2023,SIU Edwardsville,OVC
2023,Tennessee Martin,OVC
2023,Rutgers,B10
2023,UCF,Amer
2023,Virginia Tech,ACC
2023,BYU,WCC
2023,South Alabama,SB
2023,Rice,CUSA
2023,Tulane,Amer
2023,Quinnipiac,MAAC
2023,UNC Greensboro,SC
2023,Seattle,WAC
2023,Longwood,BSth
2023,Ball St.,MAC
2023,North Carolina,ACC
2023,Cal St. Fullerton,BW
2023,Duquesne,A10
2023,Troy,SB
2023,George Mason,A10
2023,Lipscomb,ASun
2023,San Francisco,WCC
2023,Wisconsin,B10
2023,Oklahoma St.,B12
2023,Belmont,MVC
2023,Samford,SC
2023,Saint Louis,A10
2023,Towson,CAA
2023,San Jose St.,MWC
2023,Cleveland St.,Horz
2023,Oregon,P12
2023,Radford,BSth
2023,Yale,Ivy
2023,Akron,MAC
2023,James Madison,SB
2023,Hawaii,BW
2023,Norfolk St.,MEAC
2023,Northwestern St.,Slnd
2023,New Mexico,MWC
2023,Dayton,A10
2023,UC Riverside,BW
2023,Morehead St.,OVC
2023,Milwaukee,Horz
2023,Charlotte,CUSA
2023,Vanderbilt,SEC
2023,Santa Clara,WCC
2023,Southern Illinois,MVC
2023,Clemson,ACC
2023,Eastern Washington,BSky
2023,UC Irvine,BW
2023,Cincinnati,Amer
2023,Indiana St.,MVC
2023,Eastern Kentucky,ASun
2023,Youngstown St.,Horz
2023,UNC Wilmington,CAA
2023,Southern Utah,WAC
2023,Marshall,SB
2023,Grambling St.,SWAC
2023,Hofstra,CAA
2023,Bradley,MVC
2023,Southern Miss,SB
2023,Fordham,A10
2023,Sam Houston St.,WAC
2023,UMass Lowell,AE
2023,Toledo,MAC
2023,Liberty,ASun
2023,Utah Valley,WAC
2023,UAB,CUSA
2023,North Texas,CUSA
2024,Houston,B12
2024,Connecticut,BE
2024,Purdue,B10
2024,North Carolina,ACC
2024,Iowa St.,B12
2024,Arizona,P12
2024,Tennessee,SEC
2024,Marquette,BE
2024,Creighton,BE
2024,Illinois,B10
2024,Baylor,B12
2024,Kentucky,SEC
2024,Auburn,SEC
2024,Duke,ACC
2024,Alabama,SEC
2024,Kansas,B12
2024,Saint Mary's,WCC
2024,Gonzaga,WCC
2024,Wisconsin,B10
2024,San Diego St.,MWC
2024,BYU,B12
2024,Texas Tech,B12
2024,Clemson,ACC
2024,South Carolina,SEC
2024,Texas,B12
2024,Florida,SEC
2024,Washington St.,P12
2024,Dayton,A10
2024,Nebraska,B10
2024,Mississippi St.,SEC
2024,Florida Atlantic,Amer
2024,Utah St.,MWC
2024,Michigan St.,B10
2024,Northwestern,B10
2024,TCU,B12
2024,Texas A&M,SEC
2024,Colorado,P12
2024,Nevada,MWC
2024,Boise St.,MWC
2024,Colorado St.,MWC
2024,Drake,MVC
2024,Virginia,ACC
2024,New Mexico,MWC
2024,Oregon,P12
2024,North Carolina St.,ACC
2024,Duquesne,A10
2024,James Madison,SB
2024,Grand Canyon,WAC
2024,McNeese St.,Slnd
2024,UAB,Amer
2024,Yale,Ivy
2024,Samford,SC
2024,College of Charleston,CAA
2024,Vermont,AE
2024,Akron,MAC
2024,Morehead St.,OVC
2024,Oakland,Horz
2024,Colgate,Pat
2024,Western Kentucky,CUSA
2024,South Dakota St.,Sum
2024,Long Beach St.,BW
2024,Saint Peter's,MAAC
2024,Longwood,BSth
2024,Montana St.,BSky
2024,Stetson,ASun
2024,Howard,MEAC
2024,Grambling St.,SWAC
2024,Wagner,NEC
2024,St. John's,BE
2024,Villanova,BE
2024,Wake Forest,ACC
2024,Ohio St.,B10
2024,Pittsburgh,ACC
2024,Cincinnati,B12
2024,Indiana St.,MVC
2024,Oklahoma,B12
2024,Utah,P12
2024,Iowa,B10
2024,Seton Hall,BE
2024,Butler,BE
2024,Virginia Tech,ACC
2024,Providence,BE
2024,UCF,B12
2024,Bradley,MVC
2024,Washington,P12
2024,Xavier,BE
2024,Kansas St.,B12
2024,Maryland,B10
2024,North Texas,Amer
2024,UNLV,MWC
2024,SMU,Amer
2024,San Francisco,WCC
2024,USC,P12
2024,Penn St.,B10
2024,Minnesota,B10
2024,Mississippi,SEC
2024,Georgia,SEC
2024,Richmond,A10
2024,Syracuse,ACC
2024,Indiana,B10
2024,LSU,SEC
2024,VCU,A10
2024,Loyola Chicago,A10
2024,Boston College,ACC
2024,Florida St.,ACC
2024,UCLA,P12
2024,UC Irvine,BW
2024,Princeton,Ivy
2024,South Florida,Amer
2024,Miami FL,ACC
2024,Louisiana Tech,CUSA
2024,Memphis,Amer
2024,Massachusetts,A10
2024,Saint Joseph's,A10
2024,George Mason,A10
2024,Appalachian St.,SB
2024,Rutgers,B10
2024,Stanford,P12
2024,St. Bonaventure,A10
2024,Belmont,MVC
2024,Oklahoma St.,B12
2024,Charlotte,Amer
2024,Arkansas,SEC
2024,Northern Iowa,MVC
2024,Cornell,Ivy
2024,Hofstra,CAA
2024,Western Carolina,SC
2024,Michigan,B10
2024,California,P12
2024,Southern Illinois,MVC
2024,UT Arlington,WAC
2024,Santa Clara,WCC
2024,Davidson,A10
2024,Troy,SB
2024,UNC Wilmington,CAA
2024,High Point,BSth
2024,Georgia Tech,ACC
2024,West Virginia,B12
2024,UC San Diego,BW
2024,Arizona St.,P12
2024,Notre Dame,ACC
2024,Drexel,CAA
2024,Seattle,WAC
2024,Sam Houston St.,CUSA
2024,Wichita St.,Amer
2024,Missouri,SEC
2024,Arkansas St.,SB
2024,Youngstown St.,Horz
2024,Louisiana Lafayette,SB
2024,UNC Greensboro,SC
2024,Towson,CAA
2024,St. Thomas,Sum
2024,Toledo,MAC
2024,Ohio,MAC
2024,Tarleton St.,WAC
2024,Missouri St.,MVC
2024,Tulane,Amer
2024,Liberty,CUSA
2024,Wright St.,Horz
2024,Oregon St.,P12
2024,Murray St.,MVC
2024,Wyoming,MWC
2024,Furman,SC
2024,Chattanooga,SC
2024,Montana,BSky
2024,Delaware,CAA
2024,UC Davis,BW
2024,Quinnipiac,MAAC
2024,UTEP,CUSA
2024,Stony Brook,CAA
2024,Weber St.,BSky
2024,Eastern Washington,BSky
2024,Winthrop,BSth
2024,East Carolina,Amer
2024,UMass Lowell,AE
2024,UNC Asheville,BSth
2024,Bryant,AE
2024,Kent St.,MAC
2024,Texas A&M Corpus Chris,Slnd
2024,Hawaii,BW
2024,Little Rock,OVC
2024,La Salle,A10
2024,Saint Louis,A10
2024,Fort Wayne,Horz
2024,Georgetown,BE
2024,Brown,Ivy
2024,Illinois Chicago,MVC
2024,Utah Valley,WAC
2024,Loyola Marymount,WCC
2024,Fordham,A10
2024,East Tennessee St.,SC
2024,Rice,Amer
2024,Fairfield,MAAC
2024,Temple,Amer
2024,Vanderbilt,SEC
2024,Pepperdine,WCC
2024,Stephen F. Austin,WAC
2024,Gardner Webb,BSth
2024,UMKC,Sum
2024,Louisville,ACC
2024,Illinois St.,MVC
2024,Rhode Island,A10
2024,Monmouth,CAA
2024,Penn,Ivy
2024,Texas St.,SB
2024,Eastern Kentucky,ASun
2024,Northern Kentucky,Horz
2024,Columbia,Ivy
2024,George Washington,A10
2024,Tulsa,Amer
2024,Northern Colorado,BSky
2024,Cleveland St.,Horz
2024,Radford,BSth
2024,Jacksonville St.,CUSA
2024,Northeastern,CAA
2024,Harvard,Ivy
2024,Mercer,SC
2024,Abilene Christian,WAC
2024,Evansville,MVC
2024,Marist,MAAC
2024,Lipscomb,ASun
2024,UC Riverside,BW
2024,Rider,MAAC
2024,San Jose St.,MWC
2024,North Dakota,Sum
2024,South Alabama,SB
2024,Wofford,SC
2024,Merrimack,NEC
2024,Mount St. Mary's,MAAC
2024,Cal Baptist,WAC
2024,Air Force,MWC
2024,Cal St. Fullerton,BW
2024,Georgia St.,SB
2024,Iona,MAAC
2024,Fresno St.,MWC
2024,Tennessee Martin,OVC
2024,Bowling Green,MAC
2024,North Florida,ASun
2024,Nicholls St.,Slnd
2024,UTSA,Amer
2024,Lamar,Slnd
2024,Florida Gulf Coast,ASun
2024,UC Santa Barbara,BW
2024,Marshall,SB
2024,Cal St. Northridge,BW
2024,Austin Peay,ASun
2024,Milwaukee,Horz
2024,Portland St.,BSky
2024,Cal St. Bakersfield,BW
2024,San Diego,WCC
2024,Idaho St.,BSky
2024,Miami OH,MAC
2024,Maine,AE
2024,Albany,AE
2024,Norfolk St.,MEAC
2024,Southern,SWAC
2024,UMBC,AE
2024,Southern Miss,SB
2024,Southern Utah,WAC
2024,Queens,ASun
2024,Canisius,MAAC
2024,Green Bay,Horz
2024,Ball St.,MAC
2024,North Dakota St.,Sum
2024,North Carolina Central,MEAC
2024,North Alabama,ASun
2024,Western Illinois,OVC
2024,Middle Tennessee,CUSA
2024,Central Michigan,MAC
2024,Nebraska Omaha,Sum
2024,Georgia Southern,SB
2024,Bucknell,Pat
2024,Lehigh,Pat
2024,Binghamton,AE
2024,Portland,WCC
2024,Utah Tech,WAC
2024,New Mexico St.,CUSA
2024,Oral Roberts,Sum
2024,New Hampshire,AE
2024,Kennesaw St.,ASun
2024,Central Connecticut,NEC
2024,USC Upstate,BSth
2024,Denver,Sum
2024,Presbyterian,BSth
2024,The Citadel,SC
2024,Texas Southern,SWAC
2024,Niagara,MAAC
2024,SIU Edwardsville,OVC
2024,DePaul,BE
2024,FIU,CUSA
2024,Louisiana Monroe,SB
2024,Old Dominion,SB
2024,Valparaiso,MVC
2024,Sacred Heart,NEC
2024,Boston University,Pat
2024,Tennessee St.,OVC
2024,South Carolina St.,MEAC
2024,American,Pat
2024,Jacksonville,ASun
2024,Alcorn St.,SWAC
2024,Delaware St.,MEAC
2024,Bellarmine,ASun
2024,Campbell,CAA
2024,Northern Illinois,MAC
2024,Chicago St.,ind
2024,Southeastern Louisiana,Slnd
2024,Le Moyne,NEC
